removal_step,stage,event_type,pruning_iteration,cells_removed,area_removed_km2,cum_cells_removed,cum_area_removed_km2,cum_prop_cells_removed,cum_prop_area_removed,cells_retained,area_retained_km2
1768,18,prune,44,1000,91.9561007081515,1754346,157268.66239757,0.825345045213308,0.824514564512326,371245,33472.2525195478
1769,18,prune,45,1000,91.8930897343661,1755346,157360.555487304,0.825815502606099,0.82499633366906,370245,33380.3594298134
1770,18,prune,46,1000,91.9610473184739,1756346,157452.516534623,0.82628595999889,0.825478459107949,369245,33288.398382495
1771,18,prune,47,1000,91.7052025820765,1757346,157544.221737205,0.826756417391681,0.825959243226144,368245,33196.6931799129
1772,18,prune,48,1000,91.5153989408941,1758346,157635.737136146,0.827226874784472,0.826439032258196,367245,33105.177780972
1773,18,prune,49,1000,90.7824439788414,1759346,157726.519580124,0.827697332177263,0.826914978617258,366245,33014.3953369931
1774,18,prune,50,1000,91.8886225212951,1760346,157818.408202646,0.828167789570054,0.827396724353673,365245,32922.5067144719
1775,18,prune,51,1000,90.1940459180385,1761346,157908.602248564,0.828638246962845,0.827869585910184,364245,32832.3126685538
1776,18,prune,52,1000,91.6501693350974,1762346,158000.252417899,0.829108704355636,0.828350081504823,363245,32740.6624992187
1777,18,prune,53,1000,89.5805213705464,1763346,158089.832939269,0.829579161748427,0.828819726527809,362245,32651.0819778482
1778,18,prune,54,1000,87.5767099321855,1764346,158177.409649202,0.830049619141218,0.829278866141196,361245,32563.505267916
1779,18,prune,55,1000,91.5541163097662,1765346,158268.963765511,0.830520076534009,0.829758858157327,360245,32471.9511516062
1780,18,prune,56,1000,89.6275042947831,1766346,158358.591269806,0.8309905339268,0.830228749498332,359245,32382.3236473114
1781,18,prune,57,1000,91.3959193448204,1767346,158449.987189151,0.831460991319591,0.830707912133074,358245,32290.9277279666
1782,18,prune,58,1000,89.6799751829298,1768346,158539.667164334,0.831931448712382,0.83117807856392,357245,32201.2477527837
1783,18,prune,59,1000,91.4563631374955,1769346,158631.123527471,0.832401906105173,0.831657558088159,356245,32109.7913896462
