method,stage,stage_order,x,scientificName,species,sp_persist
pipe,1,1,4.81480209504086,Coua coquereli,Coua_coquereli,0.99999999996435
pipe,1,1,4.81480209504086,Coua cristata,Coua_cristata,1
pipe,1,1,4.81480209504086,Coua cursor,Coua_cursor,0.99999979966988
pipe,1,1,4.81480209504086,Coua gigas,Coua_gigas,0.999998183458677
pipe,1,1,4.81480209504086,Coua serriana,Coua_serriana,0.999148451070788
pipe,1,1,4.81480209504086,Cryptoprocta ferox,Cryptoprocta_ferox,0.287143674795883
pipe,1,1,4.81480209504086,Cyanolanius madagascarinus,Cyanolanius_madagascarinus,1
pipe,1,1,4.81480209504086,Echinops telfairi,Echinops_telfairi,1
pipe,1,1,4.81480209504086,Eliurus majori,Eliurus_majori,1
pipe,1,1,4.81480209504086,Eliurus minor,Eliurus_minor,1
pipe,1,1,4.81480209504086,Eliurus myoxinus,Eliurus_myoxinus,1
pipe,1,1,4.81480209504086,Eliurus tanala,Eliurus_tanala,1
pipe,1,1,4.81480209504086,Eliurus webbi,Eliurus_webbi,1
pipe,1,1,4.81480209504086,Eremopterix hova,Eremopterix_hova,1
pipe,1,1,4.81480209504086,Eulemur albifrons,Eulemur_albifrons,1
pipe,1,1,4.81480209504086,Eulemur cinereiceps,Eulemur_cinereiceps,1
pipe,1,1,4.81480209504086,Eulemur collaris,Eulemur_collaris,1
pipe,1,1,4.81480209504086,Eulemur coronatus,Eulemur_coronatus,1
pipe,1,1,4.81480209504086,Eulemur fulvus,Eulemur_fulvus,1
pipe,1,1,4.81480209504086,Eulemur rubriventer,Eulemur_rubriventer,1
pipe,1,1,4.81480209504086,Eulemur rufus,Eulemur_rufus,1
pipe,1,1,4.81480209504086,Eulemur sanfordi,Eulemur_sanfordi,1
pipe,1,1,4.81480209504086,Fossa fossana,Fossa_fossana,0.997345959809717
pipe,1,1,4.81480209504086,Foudia madagascariensis,Foudia_madagascariensis,1
pipe,1,1,4.81480209504086,Foudia omissa,Foudia_omissa,1
pipe,1,1,4.81480209504086,Gactornis enarratus,Gactornis_enarratus,0.999999999998201
pipe,1,1,4.81480209504086,Galidia elegans,Galidia_elegans,0.996278628661804
pipe,1,1,4.81480209504086,Gymnuromys roberti,Gymnuromys_roberti,1
pipe,1,1,4.81480209504086,Hapalemur alaotrensis,Hapalemur_alaotrensis,1
pipe,1,1,4.81480209504086,Hapalemur griseus,Hapalemur_griseus,1
pipe,1,1,4.81480209504086,Hartlaubius auratus,Hartlaubius_auratus,1
pipe,1,1,4.81480209504086,Hemicentetes semispinosus,Hemicentetes_semispinosus,1
pipe,1,1,4.81480209504086,Hypositta corallirostris,Hypositta_corallirostris,0.999999999999992
pipe,1,1,4.81480209504086,Indri indri,Indri_indri,0.99999999997344
pipe,1,1,4.81480209504086,Lepidopygia nana,Lepidopygia_nana,1
pipe,1,1,4.81480209504086,Lepilemur edwardsi,Lepilemur_edwardsi,1
pipe,1,1,4.81480209504086,Lepilemur leucopus,Lepilemur_leucopus,1
pipe,1,1,4.81480209504086,Lepilemur mustelinus,Lepilemur_mustelinus,1
pipe,1,1,4.81480209504086,Lepilemur ruficaudatus,Lepilemur_ruficaudatus,1
