alpha,beta_logM,sigma
0.7105100928822694,-0.2935391444806325,0.33541373657054646
0.7623949238966431,-0.30221233534062564,0.3350231846934032
0.6836060520334345,-0.26831311535020846,0.3687817610077097
0.6068306313046438,-0.26187297527577413,0.3524804229121963
0.709683522230408,-0.2822244731842478,0.3295617164481692
0.6835331145809228,-0.2930601644995814,0.336620988081034
0.5391806637895721,-0.24849826505689057,0.3396987069435096
0.5781783923155117,-0.2527213753151055,0.33518399282098016
0.7373669422246691,-0.29042286022741415,0.36914123212219424
0.6855309377000598,-0.280902018175287,0.3316091868532135
0.6919929554945429,-0.2916847879385803,0.35973472022714326
0.7642690956598708,-0.2981928235224626,0.3274824540768614
0.6713787291419533,-0.28767997485038105,0.32438953963030903
0.7089703366728023,-0.2841053014037982,0.3452344074772257
0.7051640603648797,-0.28337501020118766,0.3662897608007276
0.6662736517418028,-0.2823166943427606,0.31642815636649296
0.6133328688265807,-0.2641197693961943,0.3370688421884278
0.567938270117017,-0.2482530466701658,0.32491753824570213
0.5923789974772486,-0.24832927137442423,0.3394686041724174
0.5929527571696882,-0.25360829376652094,0.32820952342705034
0.6761188208951839,-0.2809695524883112,0.3373395140559937
0.6354315921689596,-0.26732055356590606,0.3629056692649228
0.717733154884323,-0.2880969917056777,0.32254346346153495
0.6517079115098219,-0.26439539804882706,0.3353157779056794
0.7812465518401436,-0.30067909108412305,0.3373036714059066
0.720195363382812,-0.2880293830955536,0.3364937280817378
0.7173042448771815,-0.2801926723503,0.35198952956902496
0.7149403013471856,-0.2848816935009249,0.338768164006673
0.6486570972136512,-0.27264864734781946,0.36625573959419244
0.6850165396311785,-0.27787812869236345,0.3372903394265507
0.6739810153254996,-0.2839985292558616,0.35806289342308584
0.6787913528850331,-0.27657526299715174,0.31850899546622685
0.7131894149125007,-0.27927084160961974,0.34911705396712506
0.69906139573796,-0.2818973774559087,0.3140785936853877
0.7227442779680365,-0.2851888420142723,0.31007459144653826
0.7457499313661852,-0.3050132162748475,0.35487523887512973
0.6945832243930478,-0.2866172583645719,0.31778151493438034
0.710592352640441,-0.29210525270167276,0.35150885890262096
0.6313539918684757,-0.25891858092773473,0.33833101926559345
0.6592195448215333,-0.2782943380263245,0.35034919459394936
0.7282397391185057,-0.2874752421376473,0.3229586967940573
0.6923731974516921,-0.28850646645930883,0.32278682407023523
0.6981961746149553,-0.2839147681598187,0.36133410781898834
0.6375486614679925,-0.2660575310146038,0.3382817839022097
0.603271633773555,-0.26361047823622424,0.33995408658330495
0.5300503602501894,-0.24830995225593966,0.3575975856398927
0.724458220297048,-0.2903530000146001,0.32025583769994415
0.6615072483324429,-0.27798039828365845,0.34153802473320316
0.6233815761616622,-0.2645462806639431,0.3183842324925348
0.6881364923409888,-0.2800883395087479,0.3151263895263002
0.6734752916811858,-0.2803499361006234,0.34562460280639895
0.698885629675473,-0.2785964526480857,0.3281346538435656
0.7069824110549644,-0.2849598144187221,0.3090512895570137
0.6283426405092734,-0.26770795543796616,0.3175781407489575
0.6472534971456281,-0.26997589742958766,0.3513520631804551
0.7165748258676025,-0.2903687043628004,0.3406268243710608
0.7766872113088148,-0.29751399962762215,0.34026066079915673
0.6761189714559682,-0.28605202356206033,0.32758051431092494
0.6667978880778376,-0.2805092248311544,0.34699106637646654
0.6774057697685036,-0.27060956485802173,0.3248245720388998
0.7315276126160494,-0.2934404594452301,0.35963495680766555
0.6139882639648169,-0.2540685823159776,0.3357038515663639
0.7505759938662993,-0.2996293473809172,0.3275730458751994
0.6403082413604797,-0.27932259748009974,0.3159316460627973
0.6678416939141534,-0.2757392269014608,0.32056675811208923
0.7207236475932108,-0.28547600749930413,0.32604585128143254
0.7542665363995511,-0.30689409317029037,0.3453189271355093
0.6973472471869273,-0.2876304540214478,0.29828764130284646
0.65105128872281115,-0.2705112051250457,0.35162824039786317
0.739481769531989,-0.28878459628600583,0.3466816106876869
0.6975456452260266,-0.2800299813432032,0.33034582753572417
0.6621894051475096,-0.26984046416573815,0.32274447677520046
0.7531204829135932,-0.3005948683316303,0.30216623935836157
0.6674512215529395,-0.27067022239509775,0.3248164354156342
0.5760985371063339,-0.26768994858812006,0.37254749818462213
0.5862058136553395,-0.2525503588497302,0.32072808055460367
0.7439919622046357,-0.2915962357560167,0.3514115502153784
0.6646174725419347,-0.2751984123546579,0.33339505899603755
0.5773809328505987,-0.25227244340064936,0.3214537860849894
0.6198211083963351,-0.2604944493563629,0.3391282020001744
0.6529430613129795,-0.27498847069315757,0.3605731181691265
0.6401789107664031,-0.2677354874491085,0.3440912021738299
0.6872640804902763,-0.2839590592729475,0.3350735828486792
0.6225049846230394,-0.26434587983935287,0.33308662854134086
0.6946481336191691,-0.2746088966664093,0.3221768388378625
0.7135790784333464,-0.29705851091290003,0.3608579076715702
0.5571506019472734,-0.23963514878716877,0.3510515839713868
0.6251702103548062,-0.2566673529199171,0.31782362270285447
0.6065655832502918,-0.2574133100687388,0.33329738728344205
0.7149451523279197,-0.27996119075563364,0.3217393088128833
0.7571400974755417,-0.3013350576523592,0.3229020786129487
0.7746598084499339,-0.2976448708996059,0.33809209910901794
0.7875626245763948,-0.30177469449747196,0.35481535031866085
0.5583014009114546,-0.2592702834343116,0.3293646274917541
0.5980853925748458,-0.2575445393043689,0.3543162910362817
0.7003053838841252,-0.28475535442442423,0.34701803027879163
0.6410322621544526,-0.26973892005170363,0.335338906870541
