alpha,beta_logM,sigma
-0.720436741211932,-0.039079456433958895,0.31078215156803707
-0.5939377494929037,-0.11166866995489136,0.3088748250400188
-0.3450049359263753,-0.1253565949658008,0.2909778508200393
-0.796283305034872,-0.0026245009464135995,0.4367417890180042
-1.1261922320133813,0.039639879383913765,0.7233260833047909
0.04904328734659888,-0.23253306667935913,0.45023504626649496
0.085349549397751,-0.3341828982641248,0.3146226117850933
-0.054778301538234195,-0.2719089984998662,0.2622770927373431
-0.17482597940734024,-0.23742309189909724,0.349263657325626
0.19857633541590092,-0.3486015190109573,0.19698270417547903
0.47202394862636865,-0.43319031934826696,0.22297737247724464
0.5516491598861822,-0.4651939764730133,0.2964967917899995
0.3795330911020125,-0.4197867049483548,0.18924934693697087
0.08915390501686543,-0.40446506102352486,0.42173686706525215
-0.2994740860454259,-0.2129905370315703,0.23830647008940134
-0.04568807789163968,-0.2758863169928105,0.23197806695005804
-0.4380808930976763,-0.10520288827736969,0.32923893237960117
-0.20536282137338988,-0.22524950078727685,0.4288585367803423
-0.6826035005214869,-0.04224708522988878,0.256699742140857
-0.18093178423421236,-0.19205822431412242,0.29997379507227295
0.2086226600575891,-0.35049943381212495,0.26046421751578935
0.03375510791281443,-0.2717361713064573,0.1607643087554783
-0.05567584679212617,-0.26247052608789756,0.26347667722578494
-0.024957480833362692,-0.2554959067960757,0.18319530382216165
-0.05755837272827828,-0.2416580523758952,0.23605011684290464
0.32219121125391625,-0.4065964377175366,0.25540863930551694
0.16187618158671763,-0.36488743002198565,0.21317583526498882
-0.12381711055978331,-0.20516045242896874,0.2786129436177664
-0.46880910835632766,-0.12530513608358915,0.32922281853451246
-0.28881673566285027,-0.16196531006772863,0.280212060889246
-0.2523602773043042,-0.1807723084488154,0.22971665896702687
0.16635183931582959,-0.3132383885577242,0.29356247752792697
0.16973967731183093,-0.30450304292312147,0.26357354079902007
-0.5328829829285058,-0.11422015726529136,0.3227197577585225
0.2520824805854931,-0.34539369636723116,0.27378894806989656
0.14352325225119636,-0.32385898076532726,0.17682679545659966
0.2621703499396036,-0.36921838583766653,0.2004684508072992
0.4518686894089913,-0.3775663289697752,0.9713928688775192
0.9469408367696416,-0.589919225347004,0.7237951726295513
0.22646957529467282,-0.3448754723889657,0.3043862946019984
0.20973442938002954,-0.3509733635908751,0.32107906200046576
0.6671151741092821,-0.48799499516274364,0.3928964192768996
0.7114352963651467,-0.5522922529894128,0.2899843257734866
0.41001588939262146,-0.4713018601079473,0.3907753241212155
0.17410173994743297,-0.3255396292881696,0.24281995034104042
-0.042894951640277776,-0.25289874893028763,0.1669125623840264
0.20314662388275917,-0.36575076944645146,0.3788574950536371
0.08552289655811596,-0.2732543659957474,0.20299989776734373
0.22846391851693193,-0.2914989638188741,0.2349405690629561
0.6662935328832584,-0.43230086185819855,0.3241154252904999
0.34659172678866373,-0.35673714172311866,0.2877192984669314
0.18845281341444686,-0.3552697937870155,0.2693370113811513
-0.07212559369124479,-0.2367847216755867,0.19878000561968073
-0.3018207793213563,-0.20052452530065518,0.303200625161113
-0.6337091777146894,-0.033680567394484086,0.35500051387225395
-0.018307072707433925,-0.2506493735735565,0.21170237161299166
-0.032166151226606654,-0.24832784719087447,0.21780921817429721
-0.021055940961174874,-0.2687627051712783,0.24324340575580708
-0.08897976190303754,-0.2964763777597755,0.27806398449887615
-0.198854403227989,-0.19741171413526323,0.2809469273333477
0.07556656664696583,-0.2730341625552696,0.22489227634269127
0.046463468769233414,-0.27512544041016246,0.2182200866931408
-0.22607891807791994,-0.20046197542328328,0.28923198330294686
-0.20638437547339727,-0.21854576548788499,0.23433625927018337
-0.636180974627207,-0.08451480521356097,0.4262117230718361
-0.17321095288060973,-0.21333110366696806,0.2158637905444295
0.477226290942235,-0.41161891671736334,0.1741382470124065
0.03641921231600223,-0.33712720510196337,0.26034816598596466
0.19462003075428938,-0.28824351682121013,0.4536592759672706
-0.36944020760264723,-0.16649633727147337,0.23046776929540447
-0.5675284588372582,-0.0984185641020172,0.3057936519827369
-0.9956567698754041,0.023136953542214726,0.28862593621186955
-1.0711712432918434,0.09951116353301089,0.4218978018762238
-0.5568752989669469,-0.12811212578396722,0.31729451796544084
-0.5255878233533684,-0.07068945543880611,0.3225234092741158
-0.8842478171507663,0.04919064103853271,0.42922466584101454
-0.3833761384672749,-0.1619340577208837,0.26994831821996246
-0.014029871873800701,-0.26788074862635647,0.29156644371086693
-0.22501565076019375,-0.22450398974316832,0.25935446566343523
0.35337530904140924,-0.3770825762203937,0.2879490724203635
0.46674735565772807,-0.4142526565488116,0.2743978530418704
0.25337710731477514,-0.39885045152401094,0.21335534593498115
0.08947268682345524,-0.3301973283189567,0.18604772651267304
