alpha,beta_logM,beta_ilr1,beta_ilr2,sigma
0.065270851204238,-0.1862904483839074,0.08182157265004879,0.08770720338381487,0.27953716485156843
0.08937469536937377,-0.1759775273827952,0.0852115753666519,0.1288407976666243,0.2783892260282405
-0.024301258662339092,-0.14343004718520225,0.07153406132718657,0.07434375720075047,0.2766921549016768
-0.020662044562728923,-0.16133622476054665,0.0889816124460832,0.04727274338028692,0.28191173070790326
-0.11151900503798198,-0.112415152642991,0.06510634612541755,0.04573570229473525,0.28443706140673963
-0.07393807177023129,-0.14779409401887458,0.046708281814013056,0.032469797204349185,0.25691373453062005
-0.15566877017889164,-0.11151636821200192,0.0648113125151378,0.053799106465811854,0.27222125390107754
-0.10123446203529926,-0.12031621925982555,0.10953486340744908,0.0654159708058105,0.2896980044830079
-0.14489389637894046,-0.10329028169462559,0.06236190147595977,0.04547915091394228,0.2748314704406402
-0.043900576244339934,-0.15867523835567018,0.06363156024027203,0.042098610508862044,0.29449982070612124
0.07597756448293323,-0.19617132807310722,0.11429073578730344,0.08651515995473351,0.28405072154984856
0.027244761315353166,-0.17630358824050713,0.1049983011481377,0.08425990644114635,0.3142456231972505
0.06128672766518304,-0.18654972379020385,0.11282516156559541,0.06490740358277389,0.30021693056555715
0.14464399683318846,-0.20757075322393273,0.10847259764372415,0.13585410182695304,0.28228908233683986
0.04756091747648885,-0.19086556743042413,0.09623027550805086,0.07261015811619285,0.30473099332406356
0.053182452064948885,-0.17490615294566453,0.10306458371861264,0.08392036909646314,0.2864103552771138
0.09633949623943025,-0.19837083042495715,0.08369000598873963,0.09405961360658309,0.2748043803244771
0.17305677817524434,-0.22797087143396433,0.11484373527042552,0.10611956212199317,0.2750804444577391
0.04038695224027532,-0.19223994260530872,0.1022249100560132,0.10497977585787743,0.31301647336680494
-0.06012285458053389,-0.15377991776213903,0.049953745672717514,0.04460710053574937,0.28123177127369675
-0.01332645161756655,-0.15555640318639352,0.06681220051427657,0.06306161567900363,0.2996954936183913
0.09723398032895857,-0.19290409436789976,0.0993771146813339,0.09868634885003238,0.27763589393587884
0.04713759824349388,-0.19172580853539112,0.0654249457319627,0.06567728446150932,0.3135423751649782
0.07091955621560955,-0.21007083907705346,0.1167043674122394,0.10383587824245853,0.2760979603943801
-0.01215774839237842,-0.16857288064732381,0.07041894698837951,0.08013521262571115,0.29118258020457294
-0.06832103470531169,-0.13992906294446683,0.06339821963922694,0.06175954489306656,0.2934071881853815
-5.134449243388915e-4,-0.17004680061295582,0.057307239695434845,0.06984421770559933,0.2950972563694646
0.004233143723001827,-0.1752625323822829,0.08315256755785087,0.07464936378936543,0.2787858571355146
