alpha,beta_logM,sigma
0.260192963083906,-0.1648146142512183,0.28033168514266693
0.1971821625015497,-0.15440639114464383,0.32898453688691826
0.2643682344675147,-0.1891669283266887,0.26291257653238276
0.2967510041958745,-0.17359694555911967,0.3083575622511642
0.2185815956977995,-0.16187381159953018,0.2862279253823381
0.22041385485406262,-0.16429411281414125,0.2964414021068024
0.19908329816385062,-0.15583532519134663,0.27329136132472165
0.23969567450861753,-0.15865541949434583,0.2782309845346466
0.2666319740296244,-0.17122288260234672,0.29403840393846253
0.2222288212940818,-0.16538950572003874,0.26359481497767856
0.22864710800662102,-0.15111335616943533,0.32543650828378623
0.23876077302597953,-0.16437761445142893,0.2983001589829667
0.29641295550883506,-0.17881528828944518,0.24222500205131786
0.18710327943530253,-0.15970794644893407,0.3261966929496444
0.21020968593247144,-0.15418449113507143,0.3186164658817324
0.21839745061338475,-0.15951673658601112,0.3250864687520522
0.11486611806420689,-0.1468530651032518,0.28697669704646744
0.28790710785444146,-0.17696206966694816,0.28084951682377074
0.1678703036917783,-0.15669308870939277,0.288209552973821
0.2037451300704581,-0.14659658436225997,0.2838564289434247
0.20390061114663094,-0.158567579719903,0.26227327777289045
0.14615042403949752,-0.14864945297229815,0.3073063620166203
0.25834460487589656,-0.1592824249216413,0.3210280830379758
0.24904333925180352,-0.17417659723290746,0.2876709469320344
0.2011528896546642,-0.16101835206959866,0.2899604850773536
0.26185828114069776,-0.17116339165378536,0.2926115317423886
0.3459047170958426,-0.19740784354346122,0.2806261365674294
0.31328188952232605,-0.18598391040479198,0.278904699660189
0.2920437918081856,-0.16820306530144438,0.2923954004951113
0.28737231026494375,-0.1710716193622978,0.26940729181175316
0.2995120379961272,-0.1833777853069143,0.25648362794096663
0.3304499288519546,-0.1849519123302738,0.3007303331280252
0.267661648214407,-0.1730777310180688,0.26901323709657354
0.1758452994597835,-0.15842143201042788,0.27903126937307404
0.2771181350943267,-0.17961320030369785,0.2842162817367377
0.1918484472220524,-0.1557752929152359,0.29785307191206195
0.22151490327218848,-0.16811034129199992,0.3061540129173796
0.3017053453915308,-0.18258965396729354,0.2748938925003428
0.2102286157046081,-0.16016692065273927,0.2825231937448859
0.34374197507530224,-0.20055300682712263,0.29288438394940164
0.23160142938194597,-0.16901474361374186,0.27711327281235826
0.23294386510268644,-0.16258989499625298,0.2949527387008407
0.2074501592929744,-0.1532612503720307,0.2665324657561276
0.3029984211876704,-0.16953191094646347,0.3215089231824679
0.29574711174679447,-0.17916834146123436,0.3008639100357741
0.24992324724020745,-0.16011115144434607,0.28079374206819036
0.23297502430170974,-0.16139932005744165,0.2804361208590906
0.2903589178657073,-0.16970092687908023,0.28373633034278173
0.28278914129247235,-0.18301415758128387,0.291211746169185
0.2517680241726583,-0.17261283425296073,0.2804888098698189
0.12158144988166503,-0.13305565165359112,0.29239979228297475
0.3213084810874273,-0.18773597009736243,0.30284765275728076
0.22742418135521422,-0.17070850902535406,0.27732861209319043
0.32239809502476724,-0.18552092376450396,0.3065844005751856
0.2604877127028459,-0.17402401238539852,0.3341739553698429
0.32644257735983684,-0.195998356812351,0.2867377750921271
0.22063202212208904,-0.15559221551058636,0.24869060177317318
0.21883970845124515,-0.15279738915421753,0.3210276697838349
0.24641201711040361,-0.16637058695973875,0.2937726931836454
0.1717412437967578,-0.14058156148571999,0.2810755058836188
0.21228260494882722,-0.16409462647943798,0.30320758164230366
0.203543387043473,-0.1650891009125144,0.3184069078648929
0.16970566522045555,-0.15006480861168028,0.3060166238181068
0.22979688001443424,-0.1532260989020956,0.2990870396873107
0.2426757035743678,-0.1671688385217154,0.2965187320134898
0.2922746442593889,-0.18750717262659608,0.30456581642314146
0.2180129340141966,-0.17084081139924517,0.3224834991218433
0.2507760179508435,-0.16737740006329588,0.2916158573366443
0.22999069003117248,-0.17370261158770695,0.3132423297373288
0.20701563740030832,-0.160612221484941,0.3031055520411246
0.28089342816129115,-0.17335192237308414,0.2901541196516968
0.36669470268360616,-0.1881222095048704,0.3126405693961172
0.26497287478583836,-0.17785967908956338,0.28412373614669995
0.23772150816590354,-0.17050890711121403,0.2863344296354766
0.33955610619649595,-0.18720614954842305,0.2887701970965145
0.23509478379799154,-0.17512620091307818,0.29767639537640844
0.2556730075462724,-0.17369974793926474,0.29203285976714155
0.2537578174519007,-0.17472886717197797,0.28955331189710104
0.20418233920412077,-0.16470850993020428,0.3021007734034885
0.27286782689044053,-0.19051212779208768,0.3042439647686768
0.3235182531767421,-0.18803979457703712,0.2789329039025337
0.20867888080106486,-0.1612468185793135,0.277802101061995
0.1743836577760638,-0.15095975402690648,0.2722371891218698
0.2698121399253491,-0.16653120393559692,0.3053505718695656
0.2103881002981062,-0.14749255079579446,0.28343699362126656
0.18275549220999168,-0.15460332680055963,0.30299025532498164
0.2597287605277152,-0.16909314958873453,0.30204030941386495
0.1983649339302673,-0.16423091250922664,0.27074525935821014
0.08427746339010611,-0.125986688894444,0.31759324454406956
0.16017229764507718,-0.15312635830541826,0.31170425770665083
0.25381979917650854,-0.17353612935501456,0.2738886129552021
0.3143769749240578,-0.17525061156827296,0.28631682495733995
0.3684216123511277,-0.1981804406260818,0.29710123307652425
0.3073403760818015,-0.1762356449844709,0.30159056016062535
0.25704757497844455,-0.15842451598366358,0.30341880933898613
0.20228784952581597,-0.15916232639131603,0.29071212014308234
0.3290082024309851,-0.19104599261359723,0.3153775738002119
0.33886858891165067,-0.18359259704910477,0.2772762747063774
0.21873875901395828,-0.1596576530028335,0.28851436807196434
0.3174245484126874,-0.18174442940115473,0.2972549860489816
0.27476919822175844,-0.1772106975549452,0.2583363171417553
0.2135890534934457,-0.16181229305930897,0.2866325208210872
0.2132679245763584,-0.15960640476608284,0.30298818023100543
